cluster_id,occupancy,n_structures_occupied,n_structures_total,occupancy_fraction,evo_min_score,evo_mean_score,evo_max_grade,evo_n_residues,evo_n_low_confidence,evo_n_unscored
466,20,20,22,0.9091,-0.214,0.3853,6,3,0,0
467,3,3,22,0.1364,-0.096,-0.096,5,1,0,0
468,5,5,22,0.2273,-0.096,-0.096,5,1,0,0
469,13,13,22,0.5909,-0.221,0.1647,6,3,0,0
470,12,12,22,0.5455,-0.221,0.1647,6,3,0,0
471,3,3,22,0.1364,NA,NA,NA,0,0,0
472,4,4,22,0.1818,0.22,0.22,5,1,0,0
473,2,2,22,0.0909,-1.064,-1.064,9,1,0,0
474,9,9,22,0.4091,-1.152,-1.152,9,1,0,0
475,6,6,22,0.2727,-1.269,-0.8675,9,4,0,0
476,23,22,22,1.0,-0.785,-0.503,8,2,0,0
477,23,22,22,1.0,-0.785,-0.503,8,2,0,0
478,4,4,22,0.1818,NA,NA,NA,0,0,0
479,2,2,22,0.0909,0.615,0.615,4,1,0,0
480,20,20,22,0.9091,0.116,0.183,5,2,0,0
481,6,6,22,0.2727,-0.053,-0.053,5,1,0,0
482,5,5,22,0.2273,-0.053,-0.053,5,1,0,0
483,13,13,22,0.5909,-0.81,0.4785,8,2,0,0
484,8,8,22,0.3636,-1.087,-1.087,9,1,0,0
485,5,5,22,0.2273,-1.084,-1.084,9,1,0,0
486,5,5,22,0.2273,0.296,0.855,5,3,0,0
487,14,14,22,0.6364,-1.269,-1.2157,9,3,0,0
488,4,4,22,0.1818,-0.63,-0.167,7,2,0,0
489,18,18,22,0.8182,-1.225,0.6955,9,4,0,0
490,4,4,22,0.1818,NA,NA,NA,0,0,0
491,2,2,22,0.0909,NA,NA,NA,0,0,0
492,20,20,22,0.9091,0.116,0.183,5,2,0,0
493,2,2,22,0.0909,NA,NA,NA,0,0,0
494,7,7,22,0.3182,-1.22,-1.152,9,2,0,0
495,5,5,22,0.2273,NA,NA,NA,0,0,0
496,4,4,22,0.1818,-0.221,-0.221,6,1,0,0
497,5,5,22,0.2273,0.615,0.615,4,1,0,0
498,16,16,22,0.7273,-0.243,0.186,6,2,0,0
499,15,15,22,0.6818,-0.243,0.186,6,2,0,0
500,21,21,22,0.9545,-0.479,0.4793,7,4,0,0
501,9,9,22,0.4091,1.767,1.767,2,1,0,0
502,9,8,22,0.3636,1.767,1.767,2,1,0,0
503,7,7,22,0.3182,-1.209,-1.209,9,1,0,0
504,7,7,22,0.3182,-1.226,-1.2175,9,2,0,0
505,2,2,22,0.0909,-1.226,0.519,9,3,0,0
506,2,2,22,0.0909,NA,NA,NA,0,0,0
507,5,5,22,0.2273,-0.648,0.417,7,2,0,0
508,9,9,22,0.4091,-0.648,-0.648,7,1,0,0
509,9,9,22,0.4091,-0.648,-0.648,7,1,0,0
510,21,21,22,0.9545,-0.479,0.4793,7,4,0,0
511,3,3,22,0.1364,-1.087,-1.087,9,1,0,0
512,2,2,22,0.0909,-0.63,-0.63,7,1,0,0
513,5,5,22,0.2273,2.075,2.075,2,1,0,0
514,2,2,22,0.0909,NA,NA,NA,0,0,0
515,19,19,22,0.8636,-1.064,0.072,9,2,0,0
516,7,7,22,0.3182,-0.648,0.417,7,2,0,0
517,4,4,22,0.1818,-0.648,0.417,7,2,0,0
518,3,3,22,0.1364,0.183,0.183,5,1,0,0
519,4,4,22,0.1818,-1.22,-1.22,9,1,0,0
520,8,8,22,0.3636,0.615,0.615,4,1,0,0
521,8,8,22,0.3636,0.615,0.615,4,1,0,0
522,21,21,22,0.9545,-0.479,0.4793,7,4,0,0
523,21,21,22,0.9545,-0.479,0.4793,7,4,0,0
524,6,6,22,0.2727,0.296,0.696,5,2,0,0
525,11,11,22,0.5,-1.225,0.0557,9,3,0,0
526,10,10,22,0.4545,-1.226,-1.1847,9,4,0,0
527,5,5,22,0.2273,-1.226,-1.155,9,2,0,0
528,4,4,22,0.1818,-1.226,-1.226,9,1,0,0
529,4,4,22,0.1818,-1.226,0.073,9,3,0,0
530,8,8,22,0.3636,0.183,0.183,5,1,0,0
531,11,10,22,0.4545,-1.22,-0.3025,9,2,0,0
532,9,9,22,0.4091,-1.22,-0.3025,9,2,0,0
533,20,20,22,0.9091,0.116,0.183,5,2,0,0
534,20,20,22,0.9091,0.116,0.183,5,2,0,0
535,10,9,22,0.4091,-1.087,0.043,9,2,0,0
536,9,9,22,0.4091,-1.226,-0.928,9,2,0,0
537,2,2,22,0.0909,NA,NA,NA,0,0,0
538,3,3,22,0.1364,NA,NA,NA,0,0,0
539,14,14,22,0.6364,0.22,0.817,5,2,0,0
540,3,3,22,0.1364,NA,NA,NA,0,0,0
541,4,4,22,0.1818,0.22,0.22,5,1,0,0
542,4,4,22,0.1818,0.22,0.22,5,1,0,0
543,3,3,22,0.1364,NA,NA,NA,0,0,0
544,8,8,22,0.3636,0.22,0.22,5,1,0,0
545,11,11,22,0.5,-0.648,-0.4345,7,2,0,0
546,9,9,22,0.4091,0.183,0.183,5,1,0,0
547,14,14,22,0.6364,0.296,0.855,5,3,0,0
548,11,11,22,0.5,-1.225,0.0557,9,3,0,0
549,11,11,22,0.5,-1.225,0.0557,9,3,0,0
550,14,14,22,0.6364,-1.226,0.073,9,3,0,0
551,13,13,22,0.5909,-1.226,0.073,9,3,0,0
552,3,3,22,0.1364,-0.63,0.7225,7,2,0,0
553,2,2,22,0.0909,-0.63,0.7225,7,2,0,0
554,7,7,22,0.3182,0.708,0.708,4,1,0,0
555,5,5,22,0.2273,0.708,0.708,4,1,0,0
556,22,22,22,1.0,-1.064,-0.6088,9,5,0,0
557,3,3,22,0.1364,NA,NA,NA,0,0,0
558,7,7,22,0.3182,0.22,0.22,5,1,0,0
559,8,8,22,0.3636,0.22,0.22,5,1,0,0
560,20,20,22,0.9091,-1.064,0.072,9,2,0,0
561,20,20,22,0.9091,-1.064,0.072,9,2,0,0
562,13,13,22,0.5909,-0.648,-0.4345,7,2,0,0
563,12,12,22,0.5455,-0.648,-0.4345,7,2,0,0
564,12,12,22,0.5455,0.183,0.183,5,1,0,0
565,9,9,22,0.4091,-1.087,0.043,9,2,0,0
566,9,9,22,0.4091,-1.087,0.043,9,2,0,0
567,15,14,22,0.6364,0.296,0.855,5,3,0,0
568,19,18,22,0.8182,-1.226,-1.1847,9,4,0,0
569,9,9,22,0.4091,-1.22,-1.22,9,1,0,0
570,9,9,22,0.4091,-1.22,-1.22,9,1,0,0
571,21,21,22,0.9545,-1.064,0.175,9,2,0,0
572,21,21,22,0.9545,-1.064,0.175,9,2,0,0
573,10,10,22,0.4545,0.183,0.183,5,1,0,0
574,9,9,22,0.4091,0.183,0.183,5,1,0,0
575,14,14,22,0.6364,0.296,0.855,5,3,0,0
576,15,15,22,0.6818,0.296,0.855,5,3,0,0
577,8,8,22,0.3636,-1.084,-1.084,9,1,0,0
578,16,16,22,0.7273,-1.22,-1.22,9,1,0,0
579,17,17,22,0.7727,-1.22,-1.22,9,1,0,0
580,22,22,22,1.0,-1.064,-0.6088,9,5,0,0
581,17,17,22,0.7727,-1.226,-1.1847,9,4,0,0
582,15,15,22,0.6818,-1.226,-1.1847,9,4,0,0
583,22,22,22,1.0,-1.064,0.175,9,2,0,0
584,22,22,22,1.0,-1.064,-0.6088,9,5,0,0
585,22,22,22,1.0,-1.064,-0.6088,9,5,0,0
586,14,14,22,0.6364,1.208,1.208,3,1,0,0
587,22,22,22,1.0,-1.064,0.175,9,2,0,0
588,22,22,22,1.0,-1.064,0.175,9,2,0,0
589,22,22,22,1.0,-1.064,-0.6088,9,5,0,0
590,22,22,22,1.0,-1.064,-0.6088,9,5,0,0
591,14,14,22,0.6364,1.208,1.208,3,1,0,0
592,15,15,22,0.6818,1.208,1.208,3,1,0,0
593,15,15,22,0.6818,1.208,1.208,3,1,0,0
